 Fock matrix (alpha) (beta) Generated by Gaussian Link1 with IOp(5/33=3) Guess=Read
                1             2             3             4             5 
      1 -0.102851D+02
      2 -0.246028D+01 -0.105697D+01
      3  0.000000D+00  0.000000D+00  0.112943D-01
      4  0.169595D-03 -0.523585D-03  0.000000D+00 -0.138926D+00
      5 -0.308484D-03  0.443425D-01  0.000000D+00 -0.928219D-03 -0.225924D+00
      6 -0.202258D+01 -0.116235D+01  0.000000D+00 -0.151070D-03  0.608034D-01
      7  0.000000D+00  0.000000D+00 -0.298744D+00  0.000000D+00  0.000000D+00
      8  0.189019D-04  0.265739D-04  0.000000D+00 -0.436080D+00 -0.225763D-03
      9  0.339450D-03  0.481328D-01  0.000000D+00  0.640957D-03 -0.530165D+00
     10 -0.941126D+00 -0.550060D+00  0.000000D+00 -0.425693D-03  0.148609D-01
     11 -0.943476D+00 -0.655976D+00  0.000000D+00 -0.741488D-03 -0.623529D-01
     12 -0.944610D+00 -0.719063D+00  0.000000D+00 -0.261353D-03  0.167615D+00
     13  0.000000D+00  0.000000D+00 -0.100202D-03  0.000000D+00  0.000000D+00
     14  0.000000D+00  0.000000D+00  0.432376D-01  0.000000D+00  0.000000D+00
     15 -0.304279D-04 -0.518109D-03  0.000000D+00 -0.112052D+00 -0.287153D-03
     16 -0.376420D+00 -0.454384D+00  0.000000D+00 -0.343549D+00 -0.214290D+00
     17 -0.102086D+01 -0.712682D+00  0.000000D+00 -0.220835D+00 -0.120885D+00
     18 -0.376425D+00 -0.453562D+00  0.000000D+00  0.341583D+00 -0.213032D+00
     19 -0.102086D+01 -0.713962D+00  0.000000D+00  0.222224D+00 -0.121721D+00
     20 -0.264214D-03 -0.242527D+00  0.000000D+00 -0.136209D-05  0.513542D+00
     21 -0.242496D+00 -0.426127D+00  0.000000D+00  0.254778D-03  0.472470D+00
     22  0.000000D+00  0.000000D+00 -0.217040D+00  0.000000D+00  0.000000D+00
     23  0.582018D-05 -0.828928D-05  0.000000D+00 -0.145190D+00 -0.787740D-04
     24 -0.513465D+00 -0.471817D+00  0.000000D+00  0.360390D-03  0.342576D+00
     25 -0.731726D+00 -0.606733D+00  0.000000D+00  0.226715D-05  0.368903D+00
     26  0.000000D+00  0.000000D+00 -0.240706D+00  0.000000D+00  0.000000D+00
     27  0.888169D-05 -0.989677D-04  0.000000D+00 -0.210099D+00 -0.131378D-03
     28 -0.144294D+01 -0.789429D+00  0.000000D+00 -0.139132D-03  0.106271D+00
     29 -0.188197D-01 -0.236070D+00  0.000000D+00  0.179915D-03  0.295336D+00
     30 -0.185632D-01 -0.233823D+00  0.000000D+00  0.139370D-03  0.294436D+00
     31 -0.650767D+00 -0.464881D+00  0.000000D+00  0.243800D-03  0.300379D+00
     32  0.000000D+00  0.000000D+00 -0.834407D-05  0.000000D+00  0.000000D+00
     33  0.000000D+00  0.000000D+00 -0.972199D-01  0.000000D+00  0.000000D+00
     34  0.169094D-04 -0.115993D-03  0.000000D+00 -0.970395D-01 -0.251679D-03
     35 -0.817371D-03 -0.301431D-01  0.000000D+00  0.258442D-01  0.547323D-01
     36 -0.167088D+00 -0.212976D+00  0.000000D+00  0.572527D-01  0.177602D+00
     37 -0.823625D-03 -0.300050D-01  0.000000D+00 -0.259211D-01  0.548898D-01
     38 -0.167088D+00 -0.212951D+00  0.000000D+00 -0.573278D-01  0.177636D+00
     39  0.000000D+00 -0.141349D-04  0.000000D+00  0.286391D-04 -0.276365D-04
     40 -0.870195D-05  0.149944D-02  0.000000D+00 -0.325882D-02  0.632801D-03
     41  0.000000D+00  0.000000D+00 -0.709854D-03  0.000000D+00  0.000000D+00
     42  0.164149D-04 -0.282244D-02  0.000000D+00  0.265718D-02 -0.341184D-02
     43  0.257542D-04 -0.159231D-02  0.000000D+00  0.363309D-02  0.839710D-03
     44 -0.841977D-02 -0.219258D-01  0.000000D+00  0.425035D-02 -0.239315D-01
     45  0.000000D+00  0.000000D+00 -0.105650D-01  0.000000D+00  0.000000D+00
     46 -0.564596D-02 -0.104326D-01  0.000000D+00 -0.927304D-02 -0.106763D-01
     47  0.380489D-01  0.737726D-01  0.000000D+00 -0.167029D-01  0.674385D-01
     48 -0.744480D-05  0.158829D-02  0.000000D+00 -0.272726D-02  0.157821D-02
     49 -0.459104D-05  0.188224D-02  0.000000D+00 -0.324487D-02  0.182736D-02
     50 -0.737193D-05 -0.795570D-04  0.000000D+00 -0.105606D-02 -0.246647D-02
     51  0.000000D+00  0.000000D+00 -0.247387D-03  0.000000D+00  0.000000D+00
     52  0.000000D+00  0.000000D+00  0.658603D-03  0.000000D+00  0.000000D+00
     53  0.146051D-04 -0.400243D-03  0.000000D+00 -0.305913D-02 -0.181657D-03
     54  0.000000D+00 -0.445704D-03  0.000000D+00  0.261568D-02 -0.363856D-03
     55 -0.148775D-03 -0.110418D-02  0.000000D+00  0.108141D-02 -0.167105D-02
     56 -0.301134D-04 -0.455420D-02  0.000000D+00  0.338482D-02 -0.980575D-02
     57 -0.571757D-01 -0.927392D-01  0.000000D+00  0.482959D-01 -0.710626D-01
     58  0.100496D-05 -0.231602D-04  0.000000D+00 -0.340799D-04 -0.465986D-04
     59 -0.202204D-04  0.269394D-02  0.000000D+00  0.464326D-02  0.819506D-03
     60  0.000000D+00  0.000000D+00 -0.135769D-02  0.000000D+00  0.000000D+00
     61 -0.632731D-05  0.326180D-02  0.000000D+00  0.341901D-02  0.460381D-02
     62  0.548998D-04 -0.337206D-02  0.000000D+00 -0.668631D-02  0.799331D-03
     63 -0.135839D-01 -0.306036D-01  0.000000D+00 -0.998837D-02 -0.308394D-01
     64  0.000000D+00  0.000000D+00 -0.144647D-01  0.000000D+00  0.000000D+00
     65  0.171513D-01  0.287345D-01  0.000000D+00 -0.692211D-02  0.267644D-01
     66  0.567575D-01  0.957509D-01  0.000000D+00  0.347758D-01  0.786509D-01
     67 -0.157378D-04  0.299725D-02  0.000000D+00  0.441023D-02  0.264170D-02
     68 -0.133733D-04  0.296168D-02  0.000000D+00  0.358914D-02  0.232347D-02
     69 -0.122833D-04 -0.171308D-03  0.000000D+00  0.182691D-02 -0.443353D-02
     70  0.000000D+00  0.000000D+00  0.384948D-03  0.000000D+00  0.000000D+00
